indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-784,FRANCE,2022-12-31,NAT,46305622,46305622,,,,
IND-784,R04,2022-12-31,REG,20197,20197,,,,
IND-784,R11,2022-12-31,REG,7982459,7982459,,,,
IND-784,R24,2022-12-31,REG,256048,256048,,,,
IND-784,R27,2022-12-31,REG,4173108,4173108,,,,
IND-784,R28,2022-12-31,REG,6589532,6589532,,,,
IND-784,R32,2022-12-31,REG,2067462,2067462,,,,
IND-784,R44,2022-12-31,REG,1237265,1237265,,,,
IND-784,R52,2022-12-31,REG,4496281,4496281,,,,
IND-784,R53,2022-12-31,REG,4145611,4145611,,,,
IND-784,R75,2022-12-31,REG,5061868,5061868,,,,
IND-784,R76,2022-12-31,REG,3588920,3588920,,,,
IND-784,R84,2022-12-31,REG,5384848,5384848,,,,
IND-784,R93,2022-12-31,REG,1289227,1289227,,,,
IND-784,R94,2022-12-31,REG,12796,12796,,,,
