indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-400,D01,2022-12-31,DEPT,9520511,,,,,
IND-400,D01,2023-03-31,DEPT,,14203180,,72.4704321249,,18.9378645711
IND-400,D01,2023-12-31,DEPT,,,15982000,,,
IND-400,D01,2026-12-31,DEPT,,,,,34247000,
IND-400,D02,2022-12-31,DEPT,11073589,,,,,
IND-400,D02,2023-03-31,DEPT,,14987468,,52.0780433698,,13.608564217
IND-400,D02,2023-12-31,DEPT,,,18589000,,,
IND-400,D02,2026-12-31,DEPT,,,,,39834000,
IND-400,D03,2022-12-31,DEPT,8218960,,,,,
IND-400,D03,2023-03-31,DEPT,,10323492,,37.7288796782,,9.8591214108
IND-400,D03,2023-12-31,DEPT,,,13797000,,,
IND-400,D03,2026-12-31,DEPT,,,,,29565000,
IND-400,D04,2022-12-31,DEPT,6267608,,,,,
IND-400,D04,2023-03-31,DEPT,,9697272,,80.6146683239,,21.068813185
IND-400,D04,2023-12-31,DEPT,,,10522000,,,
IND-400,D04,2026-12-31,DEPT,,,,,22546000,
IND-400,D05,2022-12-31,DEPT,7112921,,,,,
IND-400,D05,2023-03-31,DEPT,,9499968,,49.4409267123,,12.9210609092
IND-400,D05,2023-12-31,DEPT,,,11941000,,,
IND-400,D05,2026-12-31,DEPT,,,,,25587000,
IND-400,D06,2022-12-31,DEPT,1080871,,,,,
IND-400,D06,2023-03-31,DEPT,,2170977,,100,,38.8196553648
IND-400,D06,2023-12-31,DEPT,,,1815000,,,
IND-400,D06,2026-12-31,DEPT,,,,,3889000,
IND-400,D07,2022-12-31,DEPT,10350064,,,,,
IND-400,D07,2023-03-31,DEPT,,12143134,,25.524360649,,6.670415048
IND-400,D07,2023-12-31,DEPT,,,17375000,,,
IND-400,D07,2026-12-31,DEPT,,,,,37231000,
IND-400,D08,2022-12-31,DEPT,6383449,,,,,
IND-400,D08,2023-03-31,DEPT,,8440956,,47.4895044513,,12.4099078437
IND-400,D08,2023-12-31,DEPT,,,10716000,,,
IND-400,D08,2026-12-31,DEPT,,,,,22963000,
IND-400,D09,2022-12-31,DEPT,4435611,,,,,
IND-400,D09,2023-03-31,DEPT,,6068142,,54.2299018499,,14.1707975312
IND-400,D09,2023-12-31,DEPT,,,7446000,,,
IND-400,D09,2026-12-31,DEPT,,,,,15956000,
IND-400,D10,2022-12-31,DEPT,5719966,,,,,
IND-400,D10,2023-03-31,DEPT,,8075693,,60.6828018508,,15.8570382916
IND-400,D10,2023-12-31,DEPT,,,9602000,,,
IND-400,D10,2026-12-31,DEPT,,,,,20576000,
IND-400,D11,2022-12-31,DEPT,8649659,,,,,
IND-400,D11,2023-03-31,DEPT,,11810452,,53.8434309012,,14.0702680751
IND-400,D11,2023-12-31,DEPT,,,14520000,,,
IND-400,D11,2026-12-31,DEPT,,,,,31114000,
IND-400,D12,2022-12-31,DEPT,10997780,,,,,
IND-400,D12,2023-03-31,DEPT,,14689954,,49.4649675385,,12.9263227325
IND-400,D12,2023-12-31,DEPT,,,18462000,,,
IND-400,D12,2026-12-31,DEPT,,,,,39561000,
IND-400,D13,2022-12-31,DEPT,8729525,,,,,
IND-400,D13,2023-03-31,DEPT,,9944945,,20.5152355272,,5.3607733606
IND-400,D13,2023-12-31,DEPT,,,14654000,,,
IND-400,D13,2026-12-31,DEPT,,,,,31402000,
IND-400,D14,2022-12-31,DEPT,13922041,,,,,
IND-400,D14,2023-03-31,DEPT,,20122571,,65.6213028335,,17.1484513271
IND-400,D14,2023-12-31,DEPT,,,23371000,,,
IND-400,D14,2026-12-31,DEPT,,,,,50080000,
IND-400,D15,2022-12-31,DEPT,9670803,,,,,
IND-400,D15,2023-03-31,DEPT,,14475413,,73.2053296587,,19.1287666375
IND-400,D15,2023-12-31,DEPT,,,16234000,,,
IND-400,D15,2026-12-31,DEPT,,,,,34788000,
IND-400,D16,2022-12-31,DEPT,7385817,,,,,
IND-400,D16,2023-03-31,DEPT,,10869262,,69.4856940191,,18.1597944301
IND-400,D16,2023-12-31,DEPT,,,12399000,,,
IND-400,D16,2026-12-31,DEPT,,,,,26568000,
IND-400,D17,2022-12-31,DEPT,8602129,,,,,
IND-400,D17,2023-03-31,DEPT,,13775385,,88.6002790608,,23.1560175071
IND-400,D17,2023-12-31,DEPT,,,14441000,,,
IND-400,D17,2026-12-31,DEPT,,,,,30943000,
IND-400,D18,2022-12-31,DEPT,5452968,,,,,
IND-400,D18,2023-03-31,DEPT,,8483512,,81.883755666,,21.3990760648
IND-400,D18,2023-12-31,DEPT,,,9154000,,,
IND-400,D18,2026-12-31,DEPT,,,,,19615000,
IND-400,D19,2022-12-31,DEPT,6182271,,,,,
IND-400,D19,2023-03-31,DEPT,,8783254,,61.9912058191,,16.1987102105
IND-400,D19,2023-12-31,DEPT,,,10378000,,,
IND-400,D19,2026-12-31,DEPT,,,,,22239000,
IND-400,D21,2022-12-31,DEPT,8642402,,,,,
IND-400,D21,2023-03-31,DEPT,,12231501,,61.1889699908,,15.9902133149
IND-400,D21,2023-12-31,DEPT,,,14508000,,,
IND-400,D21,2026-12-31,DEPT,,,,,31088000,
IND-400,D22,2022-12-31,DEPT,19308060,,,,,
IND-400,D22,2023-03-31,DEPT,,23927638,,35.2533512821,,9.2122672344
IND-400,D22,2023-12-31,DEPT,,,32412000,,,
IND-400,D22,2026-12-31,DEPT,,,,,69454000,
IND-400,D23,2022-12-31,DEPT,5039957,,,,,
IND-400,D23,2023-03-31,DEPT,,9317208,,100,,32.675606948
IND-400,D23,2023-12-31,DEPT,,,8461000,,,
IND-400,D23,2026-12-31,DEPT,,,,,18130000,
IND-400,D24,2022-12-31,DEPT,9861629,,,,,
IND-400,D24,2023-03-31,DEPT,,13954030,,61.1411051322,,15.9782200562
IND-400,D24,2023-12-31,DEPT,,,16555000,,,
IND-400,D24,2026-12-31,DEPT,,,,,35474000,
IND-400,D25,2022-12-31,DEPT,4036019,,,,,
IND-400,D25,2023-03-31,DEPT,,6788231,,100,,26.2540969978
IND-400,D25,2023-12-31,DEPT,,,6776000,,,
IND-400,D25,2026-12-31,DEPT,,,,,14519000,
IND-400,D26,2022-12-31,DEPT,9695244,,,,,
IND-400,D26,2023-03-31,DEPT,,14463993,,72.4760766205,,18.9388213293
IND-400,D26,2023-12-31,DEPT,,,16275000,,,
IND-400,D26,2026-12-31,DEPT,,,,,34875000,
IND-400,D27,2022-12-31,DEPT,13748739,,,,,
IND-400,D27,2023-03-31,DEPT,,22804896,,97.0518025377,,25.3622281474
IND-400,D27,2023-12-31,DEPT,,,23080000,,,
IND-400,D27,2026-12-31,DEPT,,,,,49456000,
IND-400,D28,2022-12-31,DEPT,4554052,,,,,
IND-400,D28,2023-03-31,DEPT,,6792538,,72.4206942336,,18.9253960197
IND-400,D28,2023-12-31,DEPT,,,7645000,,,
IND-400,D28,2026-12-31,DEPT,,,,,16382000,
IND-400,D29,2022-12-31,DEPT,22834846,,,,,
IND-400,D29,2023-03-31,DEPT,,32389177,,61.6521652944,,16.1104564369
IND-400,D29,2023-12-31,DEPT,,,38332000,,,
IND-400,D29,2026-12-31,DEPT,,,,,82140000,
IND-400,D2A,2022-12-31,DEPT,3899753,,,,,
IND-400,D2A,2023-03-31,DEPT,,6486112,,97.6999501747,,25.5360972141
IND-400,D2A,2023-12-31,DEPT,,,6547000,,,
IND-400,D2A,2026-12-31,DEPT,,,,,14028000,
IND-400,D2B,2022-12-31,DEPT,4322733,,,,,
IND-400,D2B,2023-03-31,DEPT,,6073941,,59.6812764483,,15.5978120054
IND-400,D2B,2023-12-31,DEPT,,,7257000,,,
IND-400,D2B,2026-12-31,DEPT,,,,,15550000,
IND-400,D30,2022-12-31,DEPT,12169815,,,,,
IND-400,D30,2023-03-31,DEPT,,18185026,,72.8305637905,,19.0311506703
IND-400,D30,2023-12-31,DEPT,,,20429000,,,
IND-400,D30,2026-12-31,DEPT,,,,,43777000,
IND-400,D31,2022-12-31,DEPT,11904095,,,,,
IND-400,D31,2023-03-31,DEPT,,19595326,,95.2014041507,,24.8771052601
IND-400,D31,2023-12-31,DEPT,,,19983000,,,
IND-400,D31,2026-12-31,DEPT,,,,,42821000,
IND-400,D32,2022-12-31,DEPT,11946719,,,,,
IND-400,D32,2023-03-31,DEPT,,16895801,,61.0373764797,,15.9507434764
IND-400,D32,2023-12-31,DEPT,,,20055000,,,
IND-400,D32,2026-12-31,DEPT,,,,,42974000,
IND-400,D33,2022-12-31,DEPT,8842063,,,,,
IND-400,D33,2023-03-31,DEPT,,12279407,,57.280121421,,14.9684437821
IND-400,D33,2023-12-31,DEPT,,,14843000,,,
IND-400,D33,2026-12-31,DEPT,,,,,31806000,
IND-400,D34,2022-12-31,DEPT,10239954,,,,,
