indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-417,D01,2023-01-31,DEPT,290,,,,,
IND-417,D01,2023-03-31,DEPT,,295,,,,
IND-417,D01,2023-06-30,DEPT,,372,,,,
IND-417,D02,2023-01-31,DEPT,427,,,,,
IND-417,D02,2023-03-31,DEPT,,439,,,,
IND-417,D02,2023-06-30,DEPT,,455,,,,
IND-417,D03,2023-01-31,DEPT,221,,,,,
IND-417,D03,2023-03-31,DEPT,,224,,,,
IND-417,D03,2023-06-30,DEPT,,228,,,,
IND-417,D04,2023-01-31,DEPT,195,,,,,
IND-417,D04,2023-03-31,DEPT,,208,,,,
IND-417,D04,2023-06-30,DEPT,,200,,,,
IND-417,D05,2023-01-31,DEPT,62,,,,,
IND-417,D05,2023-03-31,DEPT,,68,,,,
IND-417,D05,2023-06-30,DEPT,,70,,,,
IND-417,D06,2023-01-31,DEPT,471,,,,,
IND-417,D06,2023-03-31,DEPT,,487,,,,
IND-417,D06,2023-06-30,DEPT,,504,,,,
IND-417,D07,2023-01-31,DEPT,192,,,,,
IND-417,D07,2023-03-31,DEPT,,197,,,,
IND-417,D07,2023-06-30,DEPT,,205,,,,
IND-417,D08,2023-01-31,DEPT,292,,,,,
IND-417,D08,2023-03-31,DEPT,,303,,,,
IND-417,D08,2023-06-30,DEPT,,304,,,,
IND-417,D09,2023-01-31,DEPT,173,,,,,
IND-417,D09,2023-03-31,DEPT,,172,,,,
IND-417,D09,2023-06-30,DEPT,,178,,,,
IND-417,D10,2023-01-31,DEPT,173,,,,,
IND-417,D10,2023-03-31,DEPT,,186,,,,
IND-417,D10,2023-06-30,DEPT,,195,,,,
IND-417,D11,2023-01-31,DEPT,402,,,,,
IND-417,D11,2023-03-31,DEPT,,408,,,,
IND-417,D11,2023-06-30,DEPT,,407,,,,
IND-417,D12,2023-01-31,DEPT,130,,,,,
IND-417,D12,2023-03-31,DEPT,,144,,,,
IND-417,D12,2023-06-30,DEPT,,150,,,,
IND-417,D13,2023-01-31,DEPT,516,,,,,
IND-417,D13,2023-03-31,DEPT,,531,,,,
IND-417,D13,2023-06-30,DEPT,,545,,,,
IND-417,D14,2023-01-31,DEPT,356,,,,,
IND-417,D14,2023-03-31,DEPT,,354,,,,
IND-417,D14,2023-06-30,DEPT,,357,,,,
IND-417,D15,2023-01-31,DEPT,94,,,,,
IND-417,D15,2023-03-31,DEPT,,97,,,,
IND-417,D15,2023-06-30,DEPT,,121,,,,
IND-417,D16,2023-01-31,DEPT,232,,,,,
IND-417,D16,2023-03-31,DEPT,,236,,,,
IND-417,D16,2023-06-30,DEPT,,237,,,,
IND-417,D17,2023-01-31,DEPT,492,,,,,
IND-417,D17,2023-03-31,DEPT,,498,,,,
IND-417,D17,2023-06-30,DEPT,,485,,,,
IND-417,D18,2023-01-31,DEPT,274,,,,,
IND-417,D18,2023-03-31,DEPT,,303,,,,
IND-417,D18,2023-06-30,DEPT,,309,,,,
IND-417,D19,2023-01-31,DEPT,198,,,,,
IND-417,D19,2023-03-31,DEPT,,204,,,,
IND-417,D19,2023-06-30,DEPT,,209,,,,
IND-417,D21,2023-01-31,DEPT,429,,,,,
IND-417,D21,2023-03-31,DEPT,,428,,,,
IND-417,D21,2023-06-30,DEPT,,407,,,,
IND-417,D22,2023-01-31,DEPT,457,,,,,
IND-417,D22,2023-03-31,DEPT,,461,,,,
IND-417,D22,2023-06-30,DEPT,,466,,,,
IND-417,D23,2023-01-31,DEPT,199,,,,,
IND-417,D23,2023-03-31,DEPT,,202,,,,
IND-417,D23,2023-06-30,DEPT,,202,,,,
IND-417,D24,2023-01-31,DEPT,304,,,,,
IND-417,D24,2023-03-31,DEPT,,323,,,,
IND-417,D24,2023-06-30,DEPT,,358,,,,
IND-417,D25,2023-01-31,DEPT,274,,,,,
IND-417,D25,2023-03-31,DEPT,,268,,,,
IND-417,D25,2023-06-30,DEPT,,273,,,,
IND-417,D26,2023-01-31,DEPT,301,,,,,
IND-417,D26,2023-03-31,DEPT,,295,,,,
IND-417,D26,2023-06-30,DEPT,,309,,,,
IND-417,D27,2023-01-31,DEPT,412,,,,,
IND-417,D27,2023-03-31,DEPT,,418,,,,
IND-417,D27,2023-06-30,DEPT,,445,,,,
IND-417,D28,2023-01-31,DEPT,296,,,,,
IND-417,D28,2023-03-31,DEPT,,329,,,,
IND-417,D28,2023-06-30,DEPT,,336,,,,
IND-417,D29,2023-01-31,DEPT,492,,,,,
IND-417,D29,2023-03-31,DEPT,,598,,,,
