indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-588,FRANCE,2022-12-31,NAT,3400,3400,,0,,0
IND-588,FRANCE,2023-12-31,NAT,,,5000,,,
IND-588,FRANCE,2026-12-31,NAT,,,,,7000,
IND-588,R01,2023-12-31,REG,,,29,,29,
IND-588,R02,2023-12-31,REG,,,29,,29,
IND-588,R03,2023-12-31,REG,,,0,,0,
IND-588,R04,2023-12-31,REG,,,83,,83,
IND-588,R06,2023-12-31,REG,,,0,,0,
IND-588,R11,2023-12-31,REG,,,626,,626,
IND-588,R24,2023-12-31,REG,,,158,,158,
IND-588,R27,2023-12-31,REG,,,200,,200,
IND-588,R28,2023-12-31,REG,,,237,,237,
IND-588,R32,2023-12-31,REG,,,461,,461,
IND-588,R44,2023-12-31,REG,,,436,,436,
IND-588,R52,2023-12-31,REG,,,287,,287,
IND-588,R53,2023-12-31,REG,,,287,,287,
IND-588,R75,2023-12-31,REG,,,525,,525,
IND-588,R76,2023-12-31,REG,,,515,,515,
IND-588,R84,2023-12-31,REG,,,628,,628,
IND-588,R93,2023-12-31,REG,,,462,,462,
IND-588,R94,2023-12-31,REG,,,29,,29,
