indic_id,enforce_zone_id,metric_enforce_date,is_pilote,maille,is_hist,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-325,D01,2023-03-31,,DEPT,TRUE,,15,,,,
IND-325,D01,2023-12-31,,DEPT,TRUE,15,,,,,
IND-325,D02,2023-03-31,,DEPT,TRUE,,17,,,,
IND-325,D02,2023-12-31,,DEPT,TRUE,17,,,,,
IND-325,D03,2023-03-31,,DEPT,TRUE,,14,,,,
IND-325,D03,2023-12-31,,DEPT,TRUE,13,,,,,
IND-325,D04,2023-03-31,,DEPT,TRUE,,9,,,,
IND-325,D04,2023-12-31,,DEPT,TRUE,9,,,,,
IND-325,D05,2023-03-31,,DEPT,TRUE,,3,,,,
IND-325,D05,2023-12-31,,DEPT,TRUE,3,,,,,
IND-325,D06,2023-03-31,,DEPT,TRUE,,53,,,,
IND-325,D06,2023-12-31,,DEPT,TRUE,53,,,,,
IND-325,D07,2023-03-31,,DEPT,TRUE,,8,,,,
IND-325,D07,2023-12-31,,DEPT,TRUE,13,,,,,
IND-325,D08,2023-03-31,,DEPT,TRUE,,11,,,,
IND-325,D08,2023-12-31,,DEPT,TRUE,11,,,,,
IND-325,D09,2023-03-31,,DEPT,TRUE,,6,,,,
IND-325,D09,2023-12-31,,DEPT,TRUE,6,,,,,
IND-325,D10,2023-03-31,,DEPT,TRUE,,10,,,,
IND-325,D10,2023-12-31,,DEPT,TRUE,17,,,,,
IND-325,D11,2023-03-31,,DEPT,TRUE,,11,,,,
IND-325,D11,2023-12-31,,DEPT,TRUE,10,,,,,
IND-325,D12,2023-03-31,,DEPT,TRUE,,5,,,,
IND-325,D12,2023-12-31,,DEPT,TRUE,5,,,,,
IND-325,D13,2023-03-31,,DEPT,TRUE,,179,,,,
IND-325,D13,2023-12-31,,DEPT,TRUE,180,,,,,
IND-325,D14,2023-03-31,,DEPT,TRUE,,32,,,,
IND-325,D14,2023-12-31,,DEPT,TRUE,28,,,,,
IND-325,D15,2023-03-31,,DEPT,TRUE,,0,,,,
IND-325,D15,2023-12-31,,DEPT,TRUE,0,,,,,
IND-325,D16,2023-03-31,,DEPT,TRUE,,8,,,,
IND-325,D16,2023-12-31,,DEPT,TRUE,8,,,,,
IND-325,D17,2023-03-31,,DEPT,TRUE,,17,,,,
IND-325,D17,2023-12-31,,DEPT,TRUE,18,,,,,
IND-325,D18,2023-03-31,,DEPT,TRUE,,12,,,,
IND-325,D18,2023-12-31,,DEPT,TRUE,13,,,,,
IND-325,D19,2023-03-31,,DEPT,TRUE,,4,,,,
IND-325,D19,2023-12-31,,DEPT,TRUE,4,,,,,
IND-325,D21,2023-03-31,,DEPT,TRUE,,8,,,,
IND-325,D21,2023-12-31,,DEPT,TRUE,10,,,,,
IND-325,D22,2023-03-31,,DEPT,TRUE,,7,,,,
