indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-513,D01,2022-09-30,DEPT,87.69,87.69,,0,,0
IND-513,D01,2026-12-31,DEPT,,,100,,100,
IND-513,D02,2022-09-30,DEPT,90.01,90.01,,0,,0
IND-513,D02,2026-12-31,DEPT,,,100,,100,
IND-513,D03,2022-09-30,DEPT,89.63,89.63,,0,,0
IND-513,D03,2026-12-31,DEPT,,,100,,100,
IND-513,D04,2022-09-30,DEPT,87.58,87.58,,0,,0
IND-513,D04,2026-12-31,DEPT,,,100,,100,
IND-513,D05,2022-09-30,DEPT,89.04,89.04,,0,,0
IND-513,D05,2026-12-31,DEPT,,,100,,100,
IND-513,D06,2022-09-30,DEPT,88.18,88.18,,0,,0
IND-513,D06,2026-12-31,DEPT,,,100,,100,
IND-513,D07,2022-09-30,DEPT,87.54,87.54,,0,,0
IND-513,D07,2026-12-31,DEPT,,,100,,100,
IND-513,D08,2022-09-30,DEPT,89.59,89.59,,0,,0
IND-513,D08,2026-12-31,DEPT,,,100,,100,
IND-513,D09,2022-09-30,DEPT,88.88,88.88,,0,,0
IND-513,D09,2026-12-31,DEPT,,,100,,100,
IND-513,D10,2022-09-30,DEPT,89.67,89.67,,0,,0
IND-513,D10,2026-12-31,DEPT,,,100,,100,
IND-513,D11,2022-09-30,DEPT,88.41,88.41,,0,,0
IND-513,D11,2026-12-31,DEPT,,,100,,100,
IND-513,D12,2022-09-30,DEPT,87.46,87.46,,0,,0
IND-513,D12,2026-12-31,DEPT,,,100,,100,
IND-513,D13,2022-09-30,DEPT,86.69,86.69,,0,,0
IND-513,D13,2026-12-31,DEPT,,,100,,100,
IND-513,D14,2022-09-30,DEPT,90.61,90.61,,0,,0
IND-513,D14,2026-12-31,DEPT,,,100,,100,
IND-513,D15,2022-09-30,DEPT,89.79,89.79,,0,,0
IND-513,D15,2026-12-31,DEPT,,,100,,100,
IND-513,D16,2022-09-30,DEPT,85.82,85.82,,0,,0
IND-513,D16,2026-12-31,DEPT,,,100,,100,
IND-513,D17,2022-09-30,DEPT,90.69,90.69,,0,,0
IND-513,D17,2026-12-31,DEPT,,,100,,100,
IND-513,D18,2022-09-30,DEPT,84.35,84.35,,0,,0
IND-513,D18,2026-12-31,DEPT,,,100,,100,
IND-513,D19,2022-09-30,DEPT,87.1,87.1,,0,,0
IND-513,D19,2026-12-31,DEPT,,,100,,100,
IND-513,D21,2022-09-30,DEPT,90.92,90.92,,0,,0
IND-513,D21,2026-12-31,DEPT,,,100,,100,
IND-513,D22,2022-09-30,DEPT,87.89,87.89,,0,,0
IND-513,D22,2026-12-31,DEPT,,,100,,100,
IND-513,D23,2022-09-30,DEPT,84.93,84.93,,0,,0
IND-513,D23,2026-12-31,DEPT,,,100,,100,
IND-513,D24,2022-09-30,DEPT,87.15,87.15,,0,,0
IND-513,D24,2026-12-31,DEPT,,,100,,100,
IND-513,D25,2022-09-30,DEPT,89.15,89.15,,0,,0
IND-513,D25,2026-12-31,DEPT,,,100,,100,
IND-513,D26,2022-09-30,DEPT,88.97,88.97,,0,,0
IND-513,D26,2026-12-31,DEPT,,,100,,100,
IND-513,D27,2022-09-30,DEPT,87.77,87.77,,0,,0
IND-513,D27,2026-12-31,DEPT,,,100,,100,
IND-513,D28,2022-09-30,DEPT,85.53,85.53,,0,,0
IND-513,D28,2026-12-31,DEPT,,,100,,100,
IND-513,D29,2022-09-30,DEPT,89.59,89.59,,0,,0
IND-513,D29,2026-12-31,DEPT,,,100,,100,
