indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-300,D01,2022-07-31,DEPT,429,,,,,
IND-300,D01,2022-12-31,DEPT,,596,,,,
IND-300,D02,2022-07-31,DEPT,141,,,,,
IND-300,D02,2022-12-31,DEPT,,274,,,,
IND-300,D03,2022-07-31,DEPT,166,,,,,
IND-300,D03,2022-12-31,DEPT,,228,,,,
IND-300,D04,2022-07-31,DEPT,0,,,,,
IND-300,D04,2022-12-31,DEPT,,5,,,,
IND-300,D05,2022-07-31,DEPT,20,,,,,
IND-300,D05,2022-12-31,DEPT,,41,,,,
IND-300,D06,2022-07-31,DEPT,548,,,,,
IND-300,D06,2022-12-31,DEPT,,683,,,,
IND-300,D07,2022-07-31,DEPT,86,,,,,
IND-300,D07,2022-12-31,DEPT,,139,,,,
IND-300,D08,2022-07-31,DEPT,9,,,,,
IND-300,D08,2022-12-31,DEPT,,29,,,,
IND-300,D09,2022-07-31,DEPT,76,,,,,
IND-300,D09,2022-12-31,DEPT,,106,,,,
IND-300,D10,2022-07-31,DEPT,5,,,,,
IND-300,D10,2022-12-31,DEPT,,25,,,,
IND-300,D11,2022-07-31,DEPT,28,,,,,
IND-300,D11,2022-12-31,DEPT,,36,,,,
IND-300,D12,2022-07-31,DEPT,83,,,,,
IND-300,D12,2022-12-31,DEPT,,193,,,,
IND-300,D13,2022-07-31,DEPT,194,,,,,
IND-300,D13,2022-12-31,DEPT,,329,,,,
IND-300,D14,2022-07-31,DEPT,21,,,,,
IND-300,D14,2022-12-31,DEPT,,64,,,,
IND-300,D15,2022-07-31,DEPT,166,,,,,
IND-300,D15,2022-12-31,DEPT,,227,,,,
IND-300,D16,2022-07-31,DEPT,15,,,,,
IND-300,D16,2022-12-31,DEPT,,35,,,,
IND-300,D17,2022-07-31,DEPT,251,,,,,
IND-300,D17,2022-12-31,DEPT,,317,,,,
IND-300,D18,2022-07-31,DEPT,16,,,,,
IND-300,D18,2022-12-31,DEPT,,37,,,,
IND-300,D19,2022-07-31,DEPT,0,,,,,
IND-300,D19,2022-12-31,DEPT,,13,,,,
IND-300,D21,2022-07-31,DEPT,61,,,,,
IND-300,D21,2022-12-31,DEPT,,77,,,,
IND-300,D22,2022-07-31,DEPT,627,,,,,
IND-300,D22,2022-12-31,DEPT,,697,,,,
IND-300,D23,2022-07-31,DEPT,0,,,,,
IND-300,D23,2022-12-31,DEPT,,2,,,,
IND-300,D24,2022-07-31,DEPT,0,,,,,
IND-300,D24,2022-12-31,DEPT,,17,,,,
IND-300,D25,2022-07-31,DEPT,263,,,,,
IND-300,D25,2022-12-31,DEPT,,670,,,,
IND-300,D26,2022-07-31,DEPT,84,,,,,
IND-300,D26,2022-12-31,DEPT,,139,,,,
IND-300,D27,2022-07-31,DEPT,397,,,,,
IND-300,D27,2022-12-31,DEPT,,516,,,,
IND-300,D28,2022-07-31,DEPT,44,,,,,
IND-300,D28,2022-12-31,DEPT,,99,,,,
IND-300,D29,2022-07-31,DEPT,454,,,,,
IND-300,D29,2022-12-31,DEPT,,545,,,,
IND-300,D2A,2022-07-31,DEPT,33,,,,,
IND-300,D2A,2022-12-31,DEPT,,33,,,,
IND-300,D2B,2022-07-31,DEPT,32,,,,,
IND-300,D2B,2022-12-31,DEPT,,76,,,,
IND-300,D30,2022-12-31,DEPT,,0,,,,
IND-300,D31,2022-07-31,DEPT,70,,,,,
IND-300,D31,2022-12-31,DEPT,,355,,,,
IND-300,D32,2022-07-31,DEPT,59,,,,,
IND-300,D32,2022-12-31,DEPT,,87,,,,
IND-300,D33,2022-07-31,DEPT,385,,,,,
IND-300,D33,2022-12-31,DEPT,,509,,,,
IND-300,D34,2022-07-31,DEPT,239,,,,,
IND-300,D34,2022-12-31,DEPT,,405,,,,
IND-300,D35,2022-07-31,DEPT,548,,,,,
IND-300,D35,2022-12-31,DEPT,,660,,,,
IND-300,D36,2022-07-31,DEPT,134,,,,,
IND-300,D36,2022-12-31,DEPT,,208,,,,
IND-300,D37,2022-07-31,DEPT,229,,,,,
IND-300,D37,2022-12-31,DEPT,,271,,,,
IND-300,D38,2022-07-31,DEPT,667,,,,,
IND-300,D38,2022-12-31,DEPT,,782,,,,
IND-300,D39,2022-07-31,DEPT,56,,,,,
IND-300,D39,2022-12-31,DEPT,,116,,,,
IND-300,D40,2022-07-31,DEPT,5,,,,,
IND-300,D40,2022-12-31,DEPT,,76,,,,
IND-300,D41,2022-07-31,DEPT,58,,,,,
IND-300,D41,2022-12-31,DEPT,,77,,,,
IND-300,D42,2022-07-31,DEPT,190,,,,,
IND-300,D42,2022-12-31,DEPT,,364,,,,
IND-300,D43,2022-07-31,DEPT,191,,,,,
IND-300,D43,2022-12-31,DEPT,,364,,,,
IND-300,D44,2022-07-31,DEPT,408,,,,,
IND-300,D44,2022-12-31,DEPT,,452,,,,
IND-300,D45,2022-07-31,DEPT,181,,,,,
IND-300,D45,2022-12-31,DEPT,,243,,,,
IND-300,D46,2022-07-31,DEPT,6,,,,,
IND-300,D46,2022-12-31,DEPT,,17,,,,
IND-300,D47,2022-07-31,DEPT,1,,,,,
IND-300,D47,2022-12-31,DEPT,,39,,,,
IND-300,D48,2022-12-31,DEPT,,13,,,,
