indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-286,FRANCE,2022-12-31,NAT,7624069,7624069,,0,,0
IND-286,FRANCE,2023-12-31,NAT,,,10799990,,10799.999999999998,
IND-286,FRANCE,2024-12-31,NAT,,,,,15600,
IND-286,FRANCE,2025-12-31,NAT,,,,,18400.000000000004,
IND-286,FRANCE,2026-12-31,NAT,,,,,21599991,
IND-286,R01,2022-12-31,REG,17725,17725,,0,,0
IND-286,R01,2023-12-31,REG,,,75169,,50,
IND-286,R01,2024-12-31,REG,,,,,73,
IND-286,R01,2025-12-31,REG,,,,,86,
IND-286,R01,2026-12-31,REG,,,,,150338,
IND-286,R02,2022-12-31,REG,17550,17550,,0,,0
IND-286,R02,2023-12-31,REG,,,60007,,43,
IND-286,R02,2024-12-31,REG,,,,,62,
IND-286,R02,2025-12-31,REG,,,,,73,
IND-286,R02,2026-12-31,REG,,,,,120014,
IND-286,R03,2022-12-31,REG,5059,5059,,0,,0
IND-286,R03,2023-12-31,REG,,,32934,,20,
IND-286,R03,2024-12-31,REG,,,,,29,
IND-286,R03,2025-12-31,REG,,,,,34,
IND-286,R03,2026-12-31,REG,,,,,65869,
IND-286,R04,2022-12-31,REG,48091,48091,,0,,0
IND-286,R04,2023-12-31,REG,,,149456,,110,
IND-286,R04,2024-12-31,REG,,,,,158,
IND-286,R04,2025-12-31,REG,,,,,187,
IND-286,R04,2026-12-31,REG,,,,,298912,
IND-286,R06,2022-12-31,REG,894,894,,0,,0
IND-286,R06,2023-12-31,REG,,,36388,,19,
IND-286,R06,2024-12-31,REG,,,,,27,
IND-286,R06,2025-12-31,REG,,,,,32,
IND-286,R06,2026-12-31,REG,,,,,72777,
IND-286,R11,2022-12-31,REG,809066,809066,,0,,0
IND-286,R11,2023-12-31,REG,,,1670872,,1414,
IND-286,R11,2024-12-31,REG,,,,,2042,
IND-286,R11,2025-12-31,REG,,,,,2409,
IND-286,R11,2026-12-31,REG,,,,,3341744,
IND-286,R24,2022-12-31,REG,328406,328406,,0,,0
IND-286,R24,2023-12-31,REG,,,405299,,434,
IND-286,R24,2024-12-31,REG,,,,,626,
IND-286,R24,2025-12-31,REG,,,,,739,
IND-286,R24,2026-12-31,REG,,,,,810598,
IND-286,R27,2022-12-31,REG,408366,408366,,0,,0
IND-286,R27,2023-12-31,REG,,,417282,,497,
IND-286,R27,2024-12-31,REG,,,,,718,
IND-286,R27,2025-12-31,REG,,,,,847,
IND-286,R27,2026-12-31,REG,,,,,834565,
IND-286,R28,2022-12-31,REG,410581,410581,,0,,0
IND-286,R28,2023-12-31,REG,,,613319,,597,
IND-286,R28,2024-12-31,REG,,,,,862,
IND-286,R28,2025-12-31,REG,,,,,1017,
IND-286,R28,2026-12-31,REG,,,,,1226639,
IND-286,R32,2022-12-31,REG,712437,712437,,0,,0
IND-286,R32,2023-12-31,REG,,,984432,,988,
IND-286,R32,2024-12-31,REG,,,,,1427,
IND-286,R32,2025-12-31,REG,,,,,1684,
IND-286,R32,2026-12-31,REG,,,,,1968865,
IND-286,R44,2022-12-31,REG,722563,722563,,0,,0
IND-286,R44,2023-12-31,REG,,,832395,,928,
IND-286,R44,2024-12-31,REG,,,,,1341,
IND-286,R44,2025-12-31,REG,,,,,1582,
IND-286,R44,2026-12-31,REG,,,,,1664790,
IND-286,R52,2022-12-31,REG,555487,555487,,0,,0
IND-286,R52,2023-12-31,REG,,,581600,,687,
IND-286,R52,2024-12-31,REG,,,,,992,
IND-286,R52,2025-12-31,REG,,,,,1170,
IND-286,R52,2026-12-31,REG,,,,,1163201,
IND-286,R53,2022-12-31,REG,525147,525147,,0,,0
IND-286,R53,2023-12-31,REG,,,620736,,683,
IND-286,R53,2024-12-31,REG,,,,,987,
IND-286,R53,2025-12-31,REG,,,,,1164,
IND-286,R53,2026-12-31,REG,,,,,1241473,
IND-286,R75,2022-12-31,REG,830441,830441,,0,,0
IND-286,R75,2023-12-31,REG,,,1057595,,1114,
IND-286,R75,2024-12-31,REG,,,,,1609,
IND-286,R75,2025-12-31,REG,,,,,1898,
IND-286,R75,2026-12-31,REG,,,,,2115191,
IND-286,R76,2022-12-31,REG,697702,697702,,0,,0
IND-286,R76,2023-12-31,REG,,,1005319,,992,
IND-286,R76,2024-12-31,REG,,,,,1433,
IND-286,R76,2025-12-31,REG,,,,,1691,
IND-286,R76,2026-12-31,REG,,,,,2010639,
IND-286,R84,2022-12-31,REG,979313,979313,,0,,0
IND-286,R84,2023-12-31,REG,,,1198392,,1300,
IND-286,R84,2024-12-31,REG,,,,,1878,
IND-286,R84,2025-12-31,REG,,,,,2215,
IND-286,R84,2026-12-31,REG,,,,,2396784,
IND-286,R93,2022-12-31,REG,505604,505604,,0,,0
IND-286,R93,2023-12-31,REG,,,984132,,851,
IND-286,R93,2024-12-31,REG,,,,,1229,
IND-286,R93,2025-12-31,REG,,,,,1449,
IND-286,R93,2026-12-31,REG,,,,,1968265,
IND-286,R94,2022-12-31,REG,49637,49637,,0,,0
IND-286,R94,2023-12-31,REG,,,74663,,73,
IND-286,R94,2024-12-31,REG,,,,,106,
IND-286,R94,2025-12-31,REG,,,,,125,
IND-286,R94,2026-12-31,REG,,,,,149327,
