indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-324,D01,2022-04-01,DEPT,15,,,,,
IND-324,D01,2022-12-01,DEPT,,36,,37.5,,
IND-324,D01,2023-12-31,DEPT,,,40,,,
IND-324,D01,2024-12-31,DEPT,,,57,,,
IND-324,D01,2025-12-31,DEPT,,,64,,,
IND-324,D01,2026-12-31,DEPT,,,71,,,
IND-324,D02,2022-04-01,DEPT,17,,,,,
IND-324,D02,2022-12-01,DEPT,,49,,42.10526315789473,,
IND-324,D02,2023-12-31,DEPT,,,61,,,
IND-324,D02,2024-12-31,DEPT,,,79,,,
IND-324,D02,2025-12-31,DEPT,,,86,,,
IND-324,D02,2026-12-31,DEPT,,,93,,,
IND-324,D03,2022-04-01,DEPT,24,,,,,
IND-324,D03,2022-12-01,DEPT,,46,,35.483870967741936,,
IND-324,D03,2023-12-31,DEPT,,,53,,,
IND-324,D03,2024-12-31,DEPT,,,70,,,
IND-324,D03,2025-12-31,DEPT,,,78,,,
IND-324,D03,2026-12-31,DEPT,,,86,,,
IND-324,D04,2022-04-01,DEPT,16,,,,,
IND-324,D04,2022-12-01,DEPT,,28,,18.461538461538463,,
IND-324,D04,2023-12-31,DEPT,,,41,,,
IND-324,D04,2024-12-31,DEPT,,,63,,,
IND-324,D04,2025-12-31,DEPT,,,72,,,
IND-324,D04,2026-12-31,DEPT,,,81,,,
IND-324,D05,2022-04-01,DEPT,17,,,,,
IND-324,D05,2022-12-01,DEPT,,35,,26.86567164179105,,
IND-324,D05,2023-12-31,DEPT,,,43,,,
IND-324,D05,2024-12-31,DEPT,,,66,,,
IND-324,D05,2025-12-31,DEPT,,,75,,,
IND-324,D05,2026-12-31,DEPT,,,84,,,
IND-324,D06,2022-04-01,DEPT,12,,,,,
IND-324,D06,2022-12-01,DEPT,,24,,16.901408450704224,,
IND-324,D06,2023-12-31,DEPT,,,45,,,
IND-324,D06,2024-12-31,DEPT,,,61,,,
IND-324,D06,2025-12-31,DEPT,,,74,,,
IND-324,D06,2026-12-31,DEPT,,,83,,,
IND-324,D07,2022-04-01,DEPT,27,,,,,
IND-324,D07,2022-12-01,DEPT,,38,,10.784313725490197,,
IND-324,D07,2023-12-31,DEPT,,,62,,,
IND-324,D07,2024-12-31,DEPT,,,93,,,
IND-324,D07,2025-12-31,DEPT,,,117,,,
IND-324,D07,2026-12-31,DEPT,,,129,,,
IND-324,D08,2022-04-01,DEPT,17,,,,,
IND-324,D08,2022-12-01,DEPT,,30,,25,,
IND-324,D08,2023-12-31,DEPT,,,42,,,
IND-324,D08,2024-12-31,DEPT,,,57,,,
IND-324,D08,2025-12-31,DEPT,,,63,,,
IND-324,D08,2026-12-31,DEPT,,,69,,,
IND-324,D09,2022-04-01,DEPT,20,,,,,
IND-324,D09,2022-12-01,DEPT,,36,,19.51219512195122,,
IND-324,D09,2023-12-31,DEPT,,,66,,,
IND-324,D09,2024-12-31,DEPT,,,81,,,
IND-324,D09,2025-12-31,DEPT,,,92,,,
IND-324,D09,2026-12-31,DEPT,,,102,,,
IND-324,D10,2022-04-01,DEPT,34,,,,,
IND-324,D10,2022-12-01,DEPT,,41,,17.5,,
IND-324,D10,2023-12-31,DEPT,,,52,,,
IND-324,D10,2024-12-31,DEPT,,,64,,,
IND-324,D10,2025-12-31,DEPT,,,69,,,
IND-324,D10,2026-12-31,DEPT,,,74,,,
IND-324,D11,2022-04-01,DEPT,18,,,,,
IND-324,D11,2022-12-01,DEPT,,32,,21.53846153846154,,
IND-324,D11,2023-12-31,DEPT,,,42,,,
IND-324,D11,2024-12-31,DEPT,,,67,,,
IND-324,D11,2025-12-31,DEPT,,,75,,,
IND-324,D11,2026-12-31,DEPT,,,83,,,
IND-324,D12,2022-04-01,DEPT,37,,,,,
IND-324,D12,2022-12-01,DEPT,,54,,21.25,,
IND-324,D12,2023-12-31,DEPT,,,70,,,
IND-324,D12,2024-12-31,DEPT,,,95,,,
IND-324,D12,2025-12-31,DEPT,,,106,,,
IND-324,D12,2026-12-31,DEPT,,,117,,,
IND-324,D13,2022-04-01,DEPT,5,,,,,
IND-324,D13,2022-12-01,DEPT,,9,,11.76470588235294,,
IND-324,D13,2023-12-31,DEPT,,,17,,,
IND-324,D13,2024-12-31,DEPT,,,29,,,
IND-324,D13,2025-12-31,DEPT,,,34,,,
IND-324,D13,2026-12-31,DEPT,,,39,,,
IND-324,D14,2022-04-01,DEPT,7,,,,,
IND-324,D14,2022-12-01,DEPT,,25,,37.5,,
IND-324,D14,2023-12-31,DEPT,,,38,,,
IND-324,D14,2024-12-31,DEPT,,,49,,,
IND-324,D14,2025-12-31,DEPT,,,52,,,
IND-324,D14,2026-12-31,DEPT,,,55,,,
IND-324,D15,2022-04-01,DEPT,22,,,,,
IND-324,D15,2022-12-01,DEPT,,44,,28.947368421052634,,
IND-324,D15,2023-12-31,DEPT,,,52,,,
IND-324,D15,2024-12-31,DEPT,,,76,,,
IND-324,D15,2025-12-31,DEPT,,,89,,,
IND-324,D15,2026-12-31,DEPT,,,98,,,
IND-324,D16,2022-04-01,DEPT,14,,,,,
IND-324,D16,2022-12-01,DEPT,,40,,50.98039215686274,,
IND-324,D16,2023-12-31,DEPT,,,47,,,
IND-324,D16,2024-12-31,DEPT,,,55,,,
IND-324,D16,2025-12-31,DEPT,,,60,,,
IND-324,D16,2026-12-31,DEPT,,,65,,,
IND-324,D17,2022-04-01,DEPT,8,,,,,
IND-324,D17,2022-12-01,DEPT,,40,,49.23076923076923,,
IND-324,D17,2023-12-31,DEPT,,,55,,,
IND-324,D17,2024-12-31,DEPT,,,65,,,
IND-324,D17,2025-12-31,DEPT,,,69,,,
IND-324,D17,2026-12-31,DEPT,,,73,,,
IND-324,D18,2022-04-01,DEPT,10,,,,,
