indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-433,D01,2023-06-30,DEPT,,,697,,697,
IND-433,D02,2023-06-30,DEPT,,,466,,466,
IND-433,D03,2023-06-30,DEPT,,,457,,457,
IND-433,D04,2023-06-30,DEPT,,,132,,132,
IND-433,D05,2023-06-30,DEPT,,,111,,111,
IND-433,D06,2023-06-30,DEPT,,,789,,789,
IND-433,D07,2023-06-30,DEPT,,,444,,444,
IND-433,D08,2023-06-30,DEPT,,,307,,307,
IND-433,D09,2023-06-30,DEPT,,,198,,198,
IND-433,D10,2023-06-30,DEPT,,,324,,324,
IND-433,D11,2023-06-30,DEPT,,,453,,453,
IND-433,D12,2023-06-30,DEPT,,,303,,303,
IND-433,D13,2023-06-30,DEPT,,,2008,,2008,
IND-433,D14,2023-06-30,DEPT,,,625,,625,
IND-433,D15,2023-06-30,DEPT,,,191,,191,
IND-433,D16,2023-06-30,DEPT,,,465,,465,
IND-433,D17,2023-06-30,DEPT,,,789,,789,
IND-433,D18,2023-06-30,DEPT,,,405,,405,
IND-433,D19,2023-06-30,DEPT,,,314,,314,
IND-433,D21,2023-06-30,DEPT,,,534,,534,
IND-433,D22,2023-06-30,DEPT,,,624,,624,
IND-433,D23,2023-06-30,DEPT,,,182,,182,
IND-433,D24,2023-06-30,DEPT,,,527,,527,
IND-433,D25,2023-06-30,DEPT,,,583,,583,
IND-433,D26,2023-06-30,DEPT,,,631,,631,
IND-433,D27,2023-06-30,DEPT,,,636,,636,
IND-433,D28,2023-06-30,DEPT,,,532,,532,
IND-433,D29,2023-06-30,DEPT,,,1006,,1006,
IND-433,D2A,2023-06-30,DEPT,,,154,,154,
IND-433,D2B,2023-06-30,DEPT,,,231,,231,
IND-433,D30,2023-06-30,DEPT,,,871,,871,
IND-433,D31,2023-06-30,DEPT,,,1398,,1398,
IND-433,D32,2023-06-30,DEPT,,,195,,195,
IND-433,D33,2023-06-30,DEPT,,,1457,,1457,
IND-433,D34,2023-06-30,DEPT,,,1421,,1421,
IND-433,D35,2023-06-30,DEPT,,,1309,,1309,
IND-433,D36,2023-06-30,DEPT,,,345,,345,
IND-433,D37,2023-06-30,DEPT,,,659,,659,
IND-433,D38,2023-06-30,DEPT,,,1401,,1401,
IND-433,D39,2023-06-30,DEPT,,,269,,269,
IND-433,D40,2023-06-30,DEPT,,,584,,584,
IND-433,D41,2023-06-30,DEPT,,,418,,418,
IND-433,D42,2023-06-30,DEPT,,,896,,896,
IND-433,D43,2023-06-30,DEPT,,,347,,347,
IND-433,D44,2023-06-30,DEPT,,,1416,,1416,
IND-433,D45,2023-06-30,DEPT,,,710,,710,
IND-433,D46,2023-06-30,DEPT,,,204,,204,
IND-433,D47,2023-06-30,DEPT,,,501,,501,
IND-433,D48,2023-06-30,DEPT,,,97,,97,
IND-433,D49,2023-06-30,DEPT,,,841,,841,
IND-433,D50,2023-06-30,DEPT,,,412,,412,
IND-433,D51,2023-06-30,DEPT,,,1117,,1117,
IND-433,D52,2023-06-30,DEPT,,,219,,219,
IND-433,D53,2023-06-30,DEPT,,,418,,418,
IND-433,D54,2023-06-30,DEPT,,,753,,753,
IND-433,D55,2023-06-30,DEPT,,,502,,502,
IND-433,D56,2023-06-30,DEPT,,,830,,830,
IND-433,D57,2023-06-30,DEPT,,,729,,729,
IND-433,D58,2023-06-30,DEPT,,,221,,221,
IND-433,D59,2023-06-30,DEPT,,,2041,,2041,
IND-433,D60,2023-06-30,DEPT,,,812,,812,
IND-433,D61,2023-06-30,DEPT,,,260,,260,
IND-433,D62,2023-06-30,DEPT,,,1337,,1337,
IND-433,D63,2023-06-30,DEPT,,,814,,814,
IND-433,D64,2023-06-30,DEPT,,,795,,795,
IND-433,D65,2023-06-30,DEPT,,,282,,282,
IND-433,D66,2023-06-30,DEPT,,,609,,609,
IND-433,D67,2023-06-30,DEPT,,,225,,225,
IND-433,D68,2023-06-30,DEPT,,,970,,970,
IND-433,D69,2023-06-30,DEPT,,,1525,,1525,
IND-433,D70,2023-06-30,DEPT,,,274,,274,
IND-433,D71,2023-06-30,DEPT,,,618,,618,
IND-433,D72,2023-06-30,DEPT,,,641,,641,
IND-433,D73,2023-06-30,DEPT,,,551,,551,
IND-433,D74,2023-06-30,DEPT,,,701,,701,
IND-433,D75,2023-06-30,DEPT,,,549,,549,
IND-433,D76,2023-06-30,DEPT,,,1274,,1274,
IND-433,D77,2023-06-30,DEPT,,,1348,,1348,
IND-433,D78,2023-06-30,DEPT,,,1213,,1213,
IND-433,D79,2023-06-30,DEPT,,,515,,515,
IND-433,D80,2023-06-30,DEPT,,,509,,509,
IND-433,D81,2023-06-30,DEPT,,,485,,485,
IND-433,D82,2023-06-30,DEPT,,,372,,372,
IND-433,D83,2023-06-30,DEPT,,,941,,941,
IND-433,D84,2023-06-30,DEPT,,,629,,629,
IND-433,D85,2023-06-30,DEPT,,,804,,804,
IND-433,D86,2023-06-30,DEPT,,,561,,561,
IND-433,D87,2023-06-30,DEPT,,,447,,447,
IND-433,D88,2023-06-30,DEPT,,,472,,472,
IND-433,D89,2023-06-30,DEPT,,,417,,417,
IND-433,D90,2023-06-30,DEPT,,,160,,160,
IND-433,D91,2023-06-30,DEPT,,,1213,,1213,
IND-433,D92,2023-06-30,DEPT,,,761,,761,
IND-433,D93,2023-06-30,DEPT,,,774,,774,
IND-433,D94,2023-06-30,DEPT,,,831,,831,
IND-433,D95,2023-06-30,DEPT,,,960,,960,
IND-433,D971,2023-06-30,DEPT,,,376,,376,
