indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-314,D01,2022-12-31,DEPT,1584,,,,,
IND-314,D01,2023-02-26,DEPT,,264,,,,
IND-314,D02,2022-12-31,DEPT,3742,,,,,
IND-314,D02,2023-02-26,DEPT,,626,,,,
IND-314,D03,2022-12-31,DEPT,1312,,,,,
IND-314,D03,2023-02-26,DEPT,,236,,,,
IND-314,D04,2022-12-31,DEPT,474,,,,,
IND-314,D04,2023-02-26,DEPT,,104,,,,
IND-314,D05,2022-12-31,DEPT,534,,,,,
IND-314,D05,2023-02-26,DEPT,,82,,,,
IND-314,D06,2022-12-31,DEPT,4241,,,,,
IND-314,D06,2023-02-26,DEPT,,754,,,,
IND-314,D07,2022-12-31,DEPT,871,,,,,
IND-314,D07,2023-02-26,DEPT,,141,,,,
IND-314,D08,2022-12-31,DEPT,1364,,,,,
IND-314,D08,2023-02-26,DEPT,,226,,,,
IND-314,D09,2022-12-31,DEPT,715,,,,,
IND-314,D09,2023-02-26,DEPT,,108,,,,
IND-314,D10,2022-12-31,DEPT,1175,,,,,
IND-314,D10,2023-02-26,DEPT,,303,,,,
IND-314,D11,2022-12-31,DEPT,2134,,,,,
IND-314,D11,2023-02-26,DEPT,,404,,,,
IND-314,D12,2022-12-31,DEPT,881,,,,,
IND-314,D12,2023-02-26,DEPT,,221,,,,
IND-314,D13,2022-12-31,DEPT,8851,,,,,
IND-314,D13,2023-02-26,DEPT,,1474,,,,
IND-314,D14,2022-12-31,DEPT,3112,,,,,
IND-314,D14,2023-02-26,DEPT,,490,,,,
IND-314,D15,2022-12-31,DEPT,595,,,,,
IND-314,D15,2023-02-26,DEPT,,76,,,,
IND-314,D16,2022-12-31,DEPT,1193,,,,,
IND-314,D16,2023-02-26,DEPT,,216,,,,
IND-314,D17,2022-12-31,DEPT,2324,,,,,
IND-314,D17,2023-02-26,DEPT,,395,,,,
IND-314,D18,2022-12-31,DEPT,1356,,,,,
IND-314,D18,2023-02-26,DEPT,,293,,,,
IND-314,D19,2022-12-31,DEPT,1034,,,,,
IND-314,D19,2023-02-26,DEPT,,179,,,,
IND-314,D21,2022-12-31,DEPT,1975,,,,,
IND-314,D21,2023-02-26,DEPT,,370,,,,
IND-314,D22,2022-12-31,DEPT,1586,,,,,
IND-314,D22,2023-02-26,DEPT,,270,,,,
IND-314,D23,2022-12-31,DEPT,426,,,,,
IND-314,D23,2023-02-26,DEPT,,65,,,,
IND-314,D24,2022-12-31,DEPT,1727,,,,,
IND-314,D24,2023-02-26,DEPT,,304,,,,
