indic_id,enforce_zone_id,metric_enforce_date,is_pilote,maille,is_hist,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-223,D01,2022-09-01,,DEPT,TRUE,48,48,,0,,
IND-223,D01,2023-12-31,,DEPT,TRUE,,,50.9,,,
IND-223,D01,2024-12-31,,DEPT,TRUE,,,53.8,,,
IND-223,D01,2025-12-31,,DEPT,TRUE,,,55.6,,,
IND-223,D01,2026-12-31,,DEPT,TRUE,,,57.5,,,
IND-223,D02,2022-09-01,,DEPT,TRUE,36.3,36.3,,0,,
IND-223,D02,2023-12-31,,DEPT,TRUE,,,39.9,,,
IND-223,D02,2024-12-31,,DEPT,TRUE,,,43.4,,,
IND-223,D02,2025-12-31,,DEPT,TRUE,,,45.7,,,
IND-223,D02,2026-12-31,,DEPT,TRUE,,,48,,,
IND-223,D03,2022-09-01,,DEPT,TRUE,43.3,43.3,,0,,
IND-223,D03,2023-12-31,,DEPT,TRUE,,,46.5,,,
IND-223,D03,2024-12-31,,DEPT,TRUE,,,49.6,,,
IND-223,D03,2025-12-31,,DEPT,TRUE,,,51.6,,,
IND-223,D03,2026-12-31,,DEPT,TRUE,,,53.7,,,
IND-223,D04,2022-09-01,,DEPT,TRUE,45.3,45.3,,0,,
IND-223,D04,2023-12-31,,DEPT,TRUE,,,48.4,,,
IND-223,D04,2024-12-31,,DEPT,TRUE,,,51.4,,,
IND-223,D04,2025-12-31,,DEPT,TRUE,,,53.3,,,
IND-223,D04,2026-12-31,,DEPT,TRUE,,,55.3,,,
IND-223,D05,2022-09-01,,DEPT,TRUE,50.2,50.2,,0,,
IND-223,D05,2023-12-31,,DEPT,TRUE,,,53,,,
IND-223,D05,2024-12-31,,DEPT,TRUE,,,55.7,,,
IND-223,D05,2025-12-31,,DEPT,TRUE,,,57.5,,,
IND-223,D05,2026-12-31,,DEPT,TRUE,,,59.3,,,
IND-223,D06,2022-09-01,,DEPT,TRUE,47.2,47.2,,0,,
IND-223,D06,2023-12-31,,DEPT,TRUE,,,50.2,,,
IND-223,D06,2024-12-31,,DEPT,TRUE,,,53,,,
IND-223,D06,2025-12-31,,DEPT,TRUE,,,55,,,
IND-223,D06,2026-12-31,,DEPT,TRUE,,,56.9,,,
IND-223,D07,2022-09-01,,DEPT,TRUE,45.5,45.5,,0,,
IND-223,D07,2023-12-31,,DEPT,TRUE,,,48.6,,,
IND-223,D07,2024-12-31,,DEPT,TRUE,,,51.5,,,
IND-223,D07,2025-12-31,,DEPT,TRUE,,,53.5,,,
IND-223,D07,2026-12-31,,DEPT,TRUE,,,55.5,,,
IND-223,D08,2022-09-01,,DEPT,TRUE,40.3,40.3,,0,,
IND-223,D08,2023-12-31,,DEPT,TRUE,,,43.7,,,
IND-223,D08,2024-12-31,,DEPT,TRUE,,,46.9,,,
IND-223,D08,2025-12-31,,DEPT,TRUE,,,49.1,,,
IND-223,D08,2026-12-31,,DEPT,TRUE,,,51.2,,,
IND-223,D09,2022-09-01,,DEPT,TRUE,43.9,43.9,,0,,
IND-223,D09,2023-12-31,,DEPT,TRUE,,,47.1,,,
IND-223,D09,2024-12-31,,DEPT,TRUE,,,50.1,,,
IND-223,D09,2025-12-31,,DEPT,TRUE,,,52.1,,,
IND-223,D09,2026-12-31,,DEPT,TRUE,,,54.2,,,
IND-223,D10,2022-09-01,,DEPT,TRUE,41.8,41.8,,0,,
IND-223,D10,2023-12-31,,DEPT,TRUE,,,45.1,,,
IND-223,D10,2024-12-31,,DEPT,TRUE,,,48.2,,,
IND-223,D10,2025-12-31,,DEPT,TRUE,,,50.4,,,
IND-223,D10,2026-12-31,,DEPT,TRUE,,,52.5,,,
IND-223,D11,2022-09-01,,DEPT,TRUE,40.8,40.8,,0,,
IND-223,D11,2023-12-31,,DEPT,TRUE,,,44.1,,,
IND-223,D11,2024-12-31,,DEPT,TRUE,,,47.4,,,
IND-223,D11,2025-12-31,,DEPT,TRUE,,,49.5,,,
IND-223,D11,2026-12-31,,DEPT,TRUE,,,51.7,,,
IND-223,D12,2022-09-01,,DEPT,TRUE,47.7,47.7,,0,,
IND-223,D12,2023-12-31,,DEPT,TRUE,,,50.6,,,
IND-223,D12,2024-12-31,,DEPT,TRUE,,,53.5,,,
IND-223,D12,2025-12-31,,DEPT,TRUE,,,55.4,,,
IND-223,D12,2026-12-31,,DEPT,TRUE,,,57.3,,,
IND-223,D13,2022-09-01,,DEPT,TRUE,43.4,43.4,,0,,
IND-223,D13,2023-12-31,,DEPT,TRUE,,,46.6,,,
IND-223,D13,2024-12-31,,DEPT,TRUE,,,49.7,,,
IND-223,D13,2025-12-31,,DEPT,TRUE,,,51.7,,,
IND-223,D13,2026-12-31,,DEPT,TRUE,,,53.8,,,
IND-223,D14,2022-09-01,,DEPT,TRUE,47.4,47.4,,0,,
IND-223,D14,2023-12-31,,DEPT,TRUE,,,50.4,,,
IND-223,D14,2024-12-31,,DEPT,TRUE,,,53.2,,,
IND-223,D14,2025-12-31,,DEPT,TRUE,,,55.1,,,
IND-223,D14,2026-12-31,,DEPT,TRUE,,,57,,,
IND-223,D15,2022-09-01,,DEPT,TRUE,45.9,45.9,,0,,
IND-223,D15,2023-12-31,,DEPT,TRUE,,,48.9,,,
IND-223,D15,2024-12-31,,DEPT,TRUE,,,51.9,,,
IND-223,D15,2025-12-31,,DEPT,TRUE,,,53.9,,,
IND-223,D15,2026-12-31,,DEPT,TRUE,,,55.8,,,
IND-223,D16,2022-09-01,,DEPT,TRUE,43.2,43.2,,0,,
IND-223,D16,2023-12-31,,DEPT,TRUE,,,46.4,,,
IND-223,D16,2024-12-31,,DEPT,TRUE,,,49.5,,,
IND-223,D16,2025-12-31,,DEPT,TRUE,,,51.5,,,
IND-223,D16,2026-12-31,,DEPT,TRUE,,,53.6,,,
IND-223,D17,2022-09-01,,DEPT,TRUE,44.9,44.9,,0,,
IND-223,D17,2023-12-31,,DEPT,TRUE,,,48,,,
IND-223,D17,2024-12-31,,DEPT,TRUE,,,51,,,
IND-223,D17,2025-12-31,,DEPT,TRUE,,,53,,,
IND-223,D17,2026-12-31,,DEPT,TRUE,,,55,,,
IND-223,D18,2022-09-01,,DEPT,TRUE,41.4,41.4,,0,,
IND-223,D18,2023-12-31,,DEPT,TRUE,,,44.7,,,
IND-223,D18,2024-12-31,,DEPT,TRUE,,,47.9,,,
IND-223,D18,2025-12-31,,DEPT,TRUE,,,50,,,
IND-223,D18,2026-12-31,,DEPT,TRUE,,,52.1,,,
IND-223,D19,2022-09-01,,DEPT,TRUE,45.3,45.3,,0,,
IND-223,D19,2023-12-31,,DEPT,TRUE,,,48.4,,,
IND-223,D19,2024-12-31,,DEPT,TRUE,,,51.4,,,
IND-223,D19,2025-12-31,,DEPT,TRUE,,,53.3,,,
IND-223,D19,2026-12-31,,DEPT,TRUE,,,55.3,,,
IND-223,D21,2022-09-01,,DEPT,TRUE,50,50,,0,,
IND-223,D21,2023-12-31,,DEPT,TRUE,,,52.8,,,
IND-223,D21,2024-12-31,,DEPT,TRUE,,,55.5,,,
IND-223,D21,2025-12-31,,DEPT,TRUE,,,57.4,,,
IND-223,D21,2026-12-31,,DEPT,TRUE,,,59.2,,,
IND-223,D22,2022-09-01,,DEPT,TRUE,48.2,48.2,,0,,
IND-223,D22,2023-12-31,,DEPT,TRUE,,,51.1,,,
IND-223,D22,2024-12-31,,DEPT,TRUE,,,53.9,,,
IND-223,D22,2025-12-31,,DEPT,TRUE,,,55.8,,,
IND-223,D22,2026-12-31,,DEPT,TRUE,,,57.7,,,
IND-223,D23,2022-09-01,,DEPT,TRUE,39.3,39.3,,0,,
IND-223,D23,2023-12-31,,DEPT,TRUE,,,42.7,,,
IND-223,D23,2024-12-31,,DEPT,TRUE,,,46,,,
IND-223,D23,2025-12-31,,DEPT,TRUE,,,48.2,,,
IND-223,D23,2026-12-31,,DEPT,TRUE,,,50.4,,,
IND-223,D24,2022-09-01,,DEPT,TRUE,42.7,42.7,,0,,
IND-223,D24,2023-12-31,,DEPT,TRUE,,,45.9,,,
IND-223,D24,2024-12-31,,DEPT,TRUE,,,49,,,
IND-223,D24,2025-12-31,,DEPT,TRUE,,,51.1,,,
IND-223,D24,2026-12-31,,DEPT,TRUE,,,53.2,,,
IND-223,D25,2022-09-01,,DEPT,TRUE,47.4,47.4,,0,,
IND-223,D25,2023-12-31,,DEPT,TRUE,,,50.4,,,
IND-223,D25,2024-12-31,,DEPT,TRUE,,,53.2,,,
IND-223,D25,2025-12-31,,DEPT,TRUE,,,55.1,,,
IND-223,D25,2026-12-31,,DEPT,TRUE,,,57,,,
IND-223,D26,2022-09-01,,DEPT,TRUE,46.9,46.9,,0,,
IND-223,D26,2023-12-31,,DEPT,TRUE,,,49.9,,,
IND-223,D26,2024-12-31,,DEPT,TRUE,,,52.8,,,
IND-223,D26,2025-12-31,,DEPT,TRUE,,,54.7,,,
IND-223,D26,2026-12-31,,DEPT,TRUE,,,56.6,,,
IND-223,D27,2022-09-01,,DEPT,TRUE,39.9,39.9,,0,,
IND-223,D27,2023-12-31,,DEPT,TRUE,,,43.3,,,
IND-223,D27,2024-12-31,,DEPT,TRUE,,,46.6,,,
IND-223,D27,2025-12-31,,DEPT,TRUE,,,48.7,,,
IND-223,D27,2026-12-31,,DEPT,TRUE,,,50.9,,,
IND-223,D28,2022-09-01,,DEPT,TRUE,40.7,40.7,,0,,
