indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc_inter,indic_ta_inter,indic_vc_glob,indic_ta_glob
IND-440,D01,2023-01-31,DEPT,0,0,,,,
IND-440,D01,2023-06-30,DEPT,,3,3,100,,100
IND-440,D01,2023-12-31,DEPT,,,,,3,
IND-440,D02,2023-01-31,DEPT,0,0,,,,
IND-440,D02,2023-06-30,DEPT,,7,7,100,,100
IND-440,D02,2023-12-31,DEPT,,,,,7,
IND-440,D03,2023-01-31,DEPT,0,0,,,,
IND-440,D03,2023-06-30,DEPT,,11,11,100,,100
IND-440,D03,2023-12-31,DEPT,,,,,11,
IND-440,D04,2023-01-31,DEPT,0,0,,,,
IND-440,D04,2023-06-30,DEPT,,1,1,100,,100
IND-440,D04,2023-12-31,DEPT,,,,,1,
IND-440,D05,2023-01-31,DEPT,0,0,,,,
IND-440,D05,2023-06-30,DEPT,,2,2,100,,100
IND-440,D05,2023-12-31,DEPT,,,,,2,
IND-440,D06,2023-01-31,DEPT,0,0,,,,
IND-440,D06,2023-06-30,DEPT,,6,6,100,,100
IND-440,D06,2023-12-31,DEPT,,,,,6,
IND-440,D07,2023-01-31,DEPT,0,0,,,,
IND-440,D07,2023-06-30,DEPT,,6,6,100,,100
IND-440,D07,2023-12-31,DEPT,,,,,6,
IND-440,D08,2023-01-31,DEPT,0,0,,,,
IND-440,D08,2023-06-30,DEPT,,1,1,100,,100
IND-440,D08,2023-12-31,DEPT,,,,,1,
IND-440,D09,2023-01-31,DEPT,0,0,,,,
IND-440,D09,2023-06-30,DEPT,,2,2,100,,100
IND-440,D09,2023-12-31,DEPT,,,,,2,
IND-440,D10,2023-01-31,DEPT,0,0,,,,
IND-440,D10,2023-06-30,DEPT,,4,4,100,,100
IND-440,D10,2023-12-31,DEPT,,,,,4,
IND-440,D11,2023-01-31,DEPT,0,0,,,,
IND-440,D11,2023-06-30,DEPT,,4,4,100,,100
IND-440,D11,2023-12-31,DEPT,,,,,4,
IND-440,D12,2023-01-31,DEPT,0,0,,,,
IND-440,D12,2023-06-30,DEPT,,3,3,100,,100
IND-440,D12,2023-12-31,DEPT,,,,,3,
IND-440,D13,2023-01-31,DEPT,0,0,,,,
IND-440,D13,2023-06-30,DEPT,,25,25,100,,100
IND-440,D13,2023-12-31,DEPT,,,,,25,
IND-440,D14,2023-01-31,DEPT,0,0,,,,
IND-440,D14,2023-06-30,DEPT,,4,4,100,,100
IND-440,D14,2023-12-31,DEPT,,,,,4,
IND-440,D15,2023-01-31,DEPT,0,0,,,,
IND-440,D15,2023-06-30,DEPT,,2,2,100,,100
IND-440,D15,2023-12-31,DEPT,,,,,2,
IND-440,D16,2023-01-31,DEPT,0,0,,,,
IND-440,D16,2023-06-30,DEPT,,6,6,100,,100
IND-440,D16,2023-12-31,DEPT,,,,,6,
IND-440,D17,2023-01-31,DEPT,0,0,,,,
IND-440,D17,2023-06-30,DEPT,,14,14,100,,100
IND-440,D17,2023-12-31,DEPT,,,,,14,
IND-440,D18,2023-01-31,DEPT,0,0,,,,
IND-440,D18,2023-06-30,DEPT,,4,4,100,,100
IND-440,D18,2023-12-31,DEPT,,,,,4,
IND-440,D19,2023-01-31,DEPT,0,0,,,,
IND-440,D19,2023-06-30,DEPT,,7,7,100,,100
IND-440,D19,2023-12-31,DEPT,,,,,7,
IND-440,D21,2023-01-31,DEPT,0,0,,,,
IND-440,D21,2023-06-30,DEPT,,6,6,100,,100
IND-440,D21,2023-12-31,DEPT,,,,,6,
IND-440,D22,2023-01-31,DEPT,0,0,,,,
IND-440,D22,2023-06-30,DEPT,,13,13,100,,100
IND-440,D22,2023-12-31,DEPT,,,,,13,
IND-440,D23,2023-01-31,DEPT,0,0,,,,
IND-440,D23,2023-06-30,DEPT,,4,4,100,,100
IND-440,D23,2023-12-31,DEPT,,,,,4,
IND-440,D24,2023-01-31,DEPT,0,0,,,,
IND-440,D24,2023-06-30,DEPT,,5,5,100,,100
IND-440,D24,2023-12-31,DEPT,,,,,5,
IND-440,D25,2023-01-31,DEPT,0,0,,,,
IND-440,D25,2023-06-30,DEPT,,9,9,100,,100
IND-440,D25,2023-12-31,DEPT,,,,,9,
IND-440,D26,2023-01-31,DEPT,0,0,,,,
IND-440,D26,2023-06-30,DEPT,,3,3,100,,100
IND-440,D26,2023-12-31,DEPT,,,,,3,
IND-440,D27,2023-01-31,DEPT,0,0,,,,
IND-440,D27,2023-06-30,DEPT,,6,6,100,,100
IND-440,D27,2023-12-31,DEPT,,,,,6,
IND-440,D28,2023-01-31,DEPT,0,0,,,,
IND-440,D28,2023-06-30,DEPT,,1,1,100,,100
IND-440,D28,2023-12-31,DEPT,,,,,1,
IND-440,D29,2023-01-31,DEPT,0,0,,,,
IND-440,D29,2023-06-30,DEPT,,9,9,100,,100
IND-440,D29,2023-12-31,DEPT,,,,,9,
IND-440,D2A,2023-01-31,DEPT,0,0,,,,
IND-440,D2A,2023-06-30,DEPT,,4,4,100,,100
IND-440,D2A,2023-12-31,DEPT,,,,,4,
IND-440,D2B,2023-01-31,DEPT,0,0,,,,
IND-440,D2B,2023-06-30,DEPT,,2,2,100,,100
IND-440,D2B,2023-12-31,DEPT,,,,,2,
IND-440,D30,2023-01-31,DEPT,0,0,,,,
IND-440,D30,2023-06-30,DEPT,,2,2,100,,100
IND-440,D30,2023-12-31,DEPT,,,,,2,
IND-440,D31,2023-01-31,DEPT,0,0,,,,
IND-440,D31,2023-06-30,DEPT,,12,12,100,,100
IND-440,D31,2023-12-31,DEPT,,,,,12,
IND-440,D32,2023-01-31,DEPT,0,0,,,,
